Open timestmp,Open dtime,Close timestmp,Close dtime,timestmp,Signal,Free Funds,Total Assets,BTC Bought,BTCUSDT Buy Price,LongOrderID,LongOrderID1,LongOrderID2,tp1,tp2,BTC Shorted,BTCUSDT Short Price,ShortOrderID,ShortOrderID1,ShortOrderID2,lTP1ID,lTP2ID,lTPuID,sTP1ID,sTP2ID,sTPuID,BTC Borrowed Id,Sell Stop Price,Sell Limit Price,ShortStopLossId,Buy Stop Price,Buy Limit Price,LongStopLossId,Closed Buy Sell-Price,CprlTP1,CprlTP2,CprlTPu,CprsTP1,CprsTP2,CprsTPu,Closed Short Buy-Price,Closed Buy Profit,Closed Short Profit,Commission (BNB),Buy-BTC,Close-BTC-Buy,Short-BTC,Close-BTC-Short,Update-SL-Buy,Update-SL-Sell,BlSLh,BsSLh,BprlSL,BprsSL,BlO,BsO,BprlO,BprsO,Blprofit,btclO,btcsO,Bsprofit,BlTP1h,BlTP2h,BlTPuh,BprlTP1h,BprlTP2h,BprlPuh,BsTP1h,BsTP2h,BsTPuh,BprsTP1h,BprsTP2h,BprsPuh
,,,,1585560960,,1043.82953488,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,False,False,,,,,,,False,False,False,,,,False,False,False,,,
,,1585558800.0,,1585560968,0.0,1043.82953488,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,False,False,,,,,,,False,False,False,,,,False,False,False,,,
,,1585562400.0,,1585562418,0.0,1043.82953488,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,False,False,,,,,,,False,False,False,,,,False,False,False,,,
,,1585566000.0,,1585566011,0.0,1043.82953488,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,False,False,,,,,,,False,False,False,,,,False,False,False,,,
